SOROCABA (83851);
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
01/12/2021;0000;22,4;90,0;;0,0;0,0;7,5;8,50;32,4;;;
01/12/2021;1200;23,6;86,0;;0,0;0,0;10,0;;;21,0;2,0;
01/12/2021;1800;31,2;46,0;;1,0;360,0;6,3;;;;;
02/12/2021;0000;22,0;77,0;;1,0;140,0;2,5;4,00;31,0;;;
02/12/2021;1200;25,4;62,0;;1,0;140,0;10,0;;;18,6;0,0;
02/12/2021;1800;30,8;55,0;;1,0;140,0;6,3;;;;;
03/12/2021;0000;21,2;76,0;;2,1;140,0;3,8;9,20;29,0;;;
03/12/2021;1200;;;;2,1;140,0;6,3;;;18,9;0,0;
03/12/2021;1800;28,2;53,0;;2,1;140,0;7,5;;;;;
04/12/2021;0000;22,0;62,0;;1,0;140,0;3,8;9,40;32,0;;;
04/12/2021;1200;24,4;65,0;;1,0;90,0;7,5;;;17,7;0,0;
04/12/2021;1800;30,8;48,0;;0,0;0,0;5,0;;;;;
05/12/2021;0000;21,4;75,0;;1,0;140,0;1,3;11,30;33,8;;;
05/12/2021;1200;24,8;65,0;;1,0;140,0;1,3;;;16,7;0,0;
05/12/2021;1800;33,0;38,0;;1,0;180,0;6,3;;;;;
06/12/2021;0000;23,6;75,0;;0,0;0,0;7,5;6,50;29,8;;;
06/12/2021;1200;22,4;83,0;;0,0;0,0;10,0;;;18,9;1,9;
06/12/2021;1800;28,6;54,0;;1,0;180,0;5,0;;;;;
07/12/2021;0000;21,8;74,0;;2,1;90,0;;0,30;23,4;;;
07/12/2021;1200;20,8;79,0;;1,0;140,0;10,0;;;18,1;3,2;
07/12/2021;1800;22,0;65,0;;2,1;180,0;10,0;;;;;
08/12/2021;0000;18,0;74,0;;0,0;0,0;2,5;6,60;25,6;;;
08/12/2021;1200;21,4;66,0;;2,1;90,0;7,5;;;16,7;0,0;
08/12/2021;1800;25,2;52,0;;2,1;140,0;6,3;;;;;
09/12/2021;0000;18,4;74,0;;2,1;140,0;2,5;10,00;29,0;;;
09/12/2021;1200;21,4;60,0;;1,0;140,0;3,8;;;14,2;0,0;
09/12/2021;1800;28,0;51,0;;1,0;180,0;6,3;;;;;
10/12/2021;0000;19,4;75,0;;1,0;140,0;0,0;11,30;30,4;;;
10/12/2021;1200;21,6;68,0;;0,0;0,0;0,0;;;14,4;0,0;
10/12/2021;1800;29,6;41,0;;1,0;180,0;2,5;;;;;
